"","x"
"1","美國總統大選投票日將於今(8)日登場，全球密切關注，究竟是希拉蕊(Hillary Clinton)還是川普(Donald Trump)會入主白宮？雖然有不少大牌明星紛紛表態支持希拉蕊，但美國政治專欄作家羅根（Tom Rogan）提出許多美國人討厭希拉蕊的4大原因。"
"2","為什麼許多美國人寧願將票投給狂妄的億萬富翁川普，卻不肯選擇政治經驗豐富的前國務卿希拉蕊？羅根表示，有4大理由包括「對現今政府的憤怒」、「經濟倒退」、「不誠實」，以及「對外政策不明」。"
"3","羅根解釋，美國人對歐巴馬施政的不滿，對政治體制憤怒，希拉蕊自然成為箭靶。關於經濟的部份，美國勞動力參與率越顯疲弱，在打零工的數字創新高，而川普利用民眾的疑慮，宣告「將帶來上百萬美國人的工作機會」。"
"4","羅根接著說，不管是電郵門、還是在華爾街演講撈錢等事件，都讓希拉蕊的形象大傷，「不誠實」的標籤難以揮去。最後希拉蕊對於全球自由貿易的政策搖擺不定，相對於川普批評外籍人士「偷走美國人的工作」，宣稱要在美墨邊境築起高牆，不讓穆斯林到美國，讓不少人認為至少還能保護美國。"
"5","<U+00A0>"
"6","America decides - first votes cast"
"7","America decides - first votes cast"
"8","Philippines drugs crackdown strains packed jails"
"9","NYC shows off anti-vote fraud technology"
"10","Sponsored"
"11","遏止全球暖化 巴黎協定生效"
"12","全球野生動物 40年消失六成"
"13","朴槿惠閨密崔順實 干政遭拘押"
"14","民主運動領袖 翁山蘇姬"
"15","Sponsored"
"16","飯店最髒的地方曝光…太驚人"
"17","第1次進他房間 背著媽媽做…"
"18","童話世界成真～房子好像彩色積木"
"19","昆汀塔倫提諾再拍兩部就退休！"
